"ID_на_сайте","Наименование","Ссылка","Промо_цена","Регулярная_цена","Бренд"
19790583,"Блюдо Lefard Elegance овальное, 33х21х6 см, 1,8 л",https://www.auchan.ru/product/blyud-ruch-oval-1-8l-33x21x6sm,199000,259098,Lefard
19790588,"Блюдо Lefard Elegance овальное, 38х24,5х7 см, 2,8 л",https://www.auchan.ru/product/blyud-ruch-oval-2-8l-37x24-5x7sm,295900,369099,Lefard
14510477,"Блюдо для запекания Agness зеленое, 420 мл 12х12х10 см",https://www.auchan.ru/product/blyudo-d-zapek-zel-420-ml-12,29995,62399,Agness
19169377,"Блюдо для запекания Agness с крышкой, 800 мл",https://www.auchan.ru/product/blyudo-dlya-zapekaniya-s-kryshkoy-800,59995,84999,Agness
19169380,"Блюдо для запекания Agness с крышкой, 800 мл",https://www.auchan.ru/product/blyudo-dlya-zapekaniya-s-kryshkoy-800-m,44995,62999,Agness
17687569,"Блюдо для запекания Art House, 300 мл",https://www.auchan.ru/product/blyudo-dlya-zapekaniya-300ml,,24699,Art House
18323239,"Блюдо для запекания Bronco, 24х14х7 см",https://www.auchan.ru/product/blyudo-dlya-zapek-s-kr-24x14x6sm,99995,185799,Bronco
19790536,"Блюдо для запекания Lefard Elegance прямоугольное, 2,4 л",https://www.auchan.ru/product/blyudo-d-zap-pryamoug-2-4l-lefard,219000,279099,Lefard
904367,"Брызгогаситель Appetite из нержавеющей стали, 29 см",https://www.auchan.ru/product/bryzgogasitel-appetite-iz-nerzhaveyushchey-stali-29-sm,,16499,Appetite
904053,"Гейзерная кофеварка Rondell, 0,3 л",https://www.auchan.ru/product/geyzernaya-kofevarka-rondell-0-3-l,,231996,Rondell
15535391,"Горшок для запекания Art House, 13х13х12 см",https://www.auchan.ru/product/gorshok-dlya-zapekaniya-v-700ml,,37499,Art House
17687568,"Горшок для запекания Art House, 550 мл",https://www.auchan.ru/product/gorshok-dlya-zapekaniya-550ml,,36999,Art House
15535305,"Горшок для запекания Art House, 11х11х10 см",https://www.auchan.ru/product/gorshok-dlya-zapekaniya-v-400ml,19995,33599,Art House
18211283,"Жаровня Actuel литая с крышкой, 3 л",https://www.auchan.ru/product/act-zharovnya-litaya-3l-s-kr-viva,,248498,Actuel
19346419,"Жаровня «Катюша» Мираж алюминиевая, 28х8 см",https://www.auchan.ru/product/zharovnya-alyum-28h8-sm-mirazh-stek,239994,319999,Катюша
1702181,"Жаровня с крышкой Scovo Lider, 35x25,5x9,5 см",https://www.auchan.ru/product/zharovnya-s-kryshkoy-scovo-lider-35x25-5x9-5-sm,,102199,SCOVO
907253,"Казан «Гардарика» с крышкой алюминиевый, 10 л",https://www.auchan.ru/product/kazan-s-kryshkoy-alyuminievyy-10-l,,396999,-
18220097,"Казан «Нева Металл Посуда» каменный с крышкой, 7 л",https://www.auchan.ru/product/kazan-kamennyy-s-kryshkoy-7l,,406899,Нева Металл Посуда
13758827,"Казан алюминиевый Boyscout литой с крышкой, 4 л",https://www.auchan.ru/product/kazan-alyuminievyy-4l,99995,219098,Boyscout
4680175,"Казан чугунный Forester с крышкой-сковородой, 9 л",https://www.auchan.ru/product/kazan_chugs_kr_skovorodoy_9l_fores,649095,999099,FORESTER
19225781,"Кастрюля Actuel 2 л, Ø 160 мм",https://www.auchan.ru/product/act-kastryulya-2l-s-trs,,240998,Actuel
19225783,"Кастрюля Actuel 3 л, Ø 200 мм",https://www.auchan.ru/product/act-kastryulya-3l-s-trs,,268999,Actuel
19225785,"Кастрюля Actuel 5 л, Ø 220 мм",https://www.auchan.ru/product/act-kastryulya-5l-s-trs,,340699,Actuel
15734078,"Кастрюля Actuel Геометрия эмалированная, 2 л",https://www.auchan.ru/product/mdd-kastr-em-cil-st-kr-2l-geom,,149799,Actuel
15734080,"Кастрюля Actuel Геометрия эмалированная, 3 л",https://www.auchan.ru/product/mdd-kastr-em-cil-st-kr-3l-geom,119995,165099,Actuel
15734082,"Кастрюля Actuel Геометрия эмалированная, 4 л",https://www.auchan.ru/product/mdd-kastr-em-cil-st-kr-4l-geom,139995,186199,Actuel
15734079,"Кастрюля Actuel Овощи эмалированная, 3 л",https://www.auchan.ru/product/mdd-kastr-em-cil-st-kr-3l-ovoshch,119995,165199,Actuel
15734081,"Кастрюля Actuel Овощи эмалированная, 4 л",https://www.auchan.ru/product/mdd-kastr-em-cil-st-kr-4l-ovoshch,139995,186399,Actuel
18620686,"Кастрюля Actuel сферическая из нержавеющей стали, 1,9 л",https://www.auchan.ru/product/act-kastryulya-nzhs-sfer-1-9l,,135999,Actuel
18620691,"Кастрюля Actuel сферическая из нержавеющей стали, 2,8",https://www.auchan.ru/product/act-kastryulya-nzhs-sfer-2-8l,,159999,Actuel
18620687,"Кастрюля Actuel сферическая из нержавеющей стали, 5,7 л",https://www.auchan.ru/product/act-kastryulya-nzhs-sfer-5-7l,,229998,Actuel
18620690,"Кастрюля Actuel сферическая из нержавеющей стали, 7 л",https://www.auchan.ru/product/act-kastryulya-nzhs-sfer-7l,,264999,Actuel
15185327,"Кастрюля Actuel эмалированная Les fleurs, 2 л",https://www.auchan.ru/product/mdd-kastr-em-sfer-2l-lesfleurs,,78799,Actuel
15185320,"Кастрюля Actuel эмалированная Les fleurs, 4 л",https://www.auchan.ru/product/mdd-kastr-em-sfer-4l-lesfleurs,,102699,Actuel
15185326,"Кастрюля Actuel эмалированная Les fleurs, 5,5 л",https://www.auchan.ru/product/mdd-kastr-em-sfer-5-5l-lesfleu,,111099,Actuel
15185316,"Кастрюля Actuel эмалированная Provence, 2 л",https://www.auchan.ru/product/mdd-kastr-em-sfer-2l-provence,,78899,Actuel
15185322,"Кастрюля Actuel эмалированная Provence, 3 л",https://www.auchan.ru/product/mdd-kastr-em-sfer-3l-provence,,95999,Actuel
15185324,"Кастрюля Actuel эмалированная Provence, 5,5 л",https://www.auchan.ru/product/mdd-kastr-em-sfer-5-5l-provenc,,111099,Actuel
18416927,"Кастрюля Agness Fruit Basket эмалированная с крышкой, 1,5 л",https://www.auchan.ru/product/kastryulya-emal-s-kr-1-5l-agness,,166399,Agness
18416929,"Кастрюля Agness Fruit Basket эмалированная с крышкой, 2 л",https://www.auchan.ru/product/kastryulya-emal-s-kr-2l-agness,,181399,Agness
18416930,"Кастрюля Agness Fruit Basket эмалированная с крышкой, 2,8 л",https://www.auchan.ru/product/kastryulya-emal-s-kr-2-8l-agness,,239398,Agness
18416931,"Кастрюля Agness Fruit Basket эмалированная с крышкой, 3,6 л",https://www.auchan.ru/product/kastryulya-emal-s-kr-3-6l-agness,,243698,Agness
19796432,"Кастрюля Agness Royal Garden с крышкой, 2,1 л",https://www.auchan.ru/product/kast-2-1l-emal-s-krysh-induk-agness,499000,694299,Agness
19796472,"Кастрюля Agness Royal Garden с крышкой, 3,8 л",https://www.auchan.ru/product/kast-3-8l-emal-s-krysh-induk-agness,599000,873599,Agness
19170957,"Кастрюля Agness со стекляной крышкой, 3,5 л",https://www.auchan.ru/product/kastryulya-so-stekl-kryshkoy-3-5l,179995,257998,Agness
1759365,"Кастрюля Appetite Кантри для индукционных плит, 2 л",https://www.auchan.ru/product/kastryulya-kantri-dlya-indukcionnyh-plit-2-l,,63799,Appetite
904599,"Кастрюля Appetite Кантри эмалированная для индукционных плит, 3 л",https://www.auchan.ru/product/kastryulya-kantri-emalirovannaya-dlya-indukcionnyh-plit-3-l,,73599,Appetite
982430,"Кастрюля Appetite Кантри эмалированная для индукционных плит, 4,5 л",https://www.auchan.ru/product/kastryulya-kantri-emalirovannaya-dlya-indukcionnyh-plit-4-5-l,,82999,Appetite
1703138,"Кастрюля Appetite Париж эмалированная для индукционных плит, 2 л",https://www.auchan.ru/product/kastryulya-parizh-emalirovannaya-dlya-indukcionnyh-plit-2-l,,85699,Appetite
1623260,"Кастрюля Appetite Париж эмалированная для индукционных плит, 3 л",https://www.auchan.ru/product/kastryulya-parizh-emalirovannaya-dlya-indukcionnyh-plit-3-l,,89199,Appetite
1623265,"Кастрюля Appetite Париж эмалированная для индукционных плит, 5,5 л",https://www.auchan.ru/product/kastryulya-parizh-emalirovannaya-dlya-indukcionnyh-plit-5-5-l,,114499,Appetite
984137,"Кастрюля Atmosphere Omega, 1,4 л",https://www.auchan.ru/product/kastryulya-s-kryshkoy-atmosphere-omega-1-4-l,,131399,Аtmosphere
984138,"Кастрюля Atmosphere Omega, 1,9 л",https://www.auchan.ru/product/kastryulya-s-kryshkoy-atmosphere-omega-1-9-l,99995,157499,Аtmosphere
984139,"Кастрюля Atmosphere Omega, 2,8 л",https://www.auchan.ru/product/kastryulya-s-kryshkoy-atmosphere-omega-2-8-l,,164299,Аtmosphere
20029929,"Кастрюля Bergner Ion plus, 20 см",https://www.auchan.ru/product/kastryul-ion-plus-20sm,374900,499999,Bergner
20029930,"Кастрюля Bergner Ion plus, 24 см",https://www.auchan.ru/product/kastryul-ion-plus-24sm,429000,539999,Bergner
