"ID_на_сайте","Наименование","Ссылка","Промо_цена","Регулярная_цена","Бренд"
473944135,"RIOBA Напиток чайный каркаде (1.8г x 25шт), 45г",https://online.metro-cc.ru/products/25x18g-chaynyy-napitok-rioba-karkade,,11400,RIOBA
550287126,"RIOBA Напиток чайный ройбуш ягодный (1.5г x 25шт), 37г",https://online.metro-cc.ru/products/rioba-napitok-chaynyy-roybush-yagodnyy-15g-x-25,,12100,RIOBA
517585,"RIOBA Напиток чайный ромашка (1.5г х 14шт), 21г",https://online.metro-cc.ru/products/rioba-napitok-romashka-14x15g,,18700,RIOBA
550287456,"RIOBA Напиток чайный ромашковый (1.2г x 25шт), 30г",https://online.metro-cc.ru/products/rioba-napitok-chaynyy-romashkovyy-12g-x-25,,10600,RIOBA
539518,"RIOBA Чай Лесные Десерты зеленый (2г х 20шт), 40г",https://online.metro-cc.ru/products/rioba-lesnye-deserty-zelenyj-20-paketikov-h-2-g,,25200,RIOBA
577064,"RIOBA Чай Матча зеленый Премиум, 100г",https://online.metro-cc.ru/products/rioba-matcha-zelenyj-100g,,62900,RIOBA
539550,"RIOBA Чай Пляжный мохито черный (2г х 20шт), 40г",https://online.metro-cc.ru/products/rioba-plyazhnyj-mohito-chernyj-20-paketikov-h-2-g,,25100,RIOBA
473944130,"RIOBA Чай ассорти пакетированный 9 вкусов, 173г",https://online.metro-cc.ru/products/173g-chay-rioba-assorti-paketirovannyy-9-vkusov,,47900,RIOBA
514944,"RIOBA Чай зеленый c жасмином, 400г",https://online.metro-cc.ru/products/rioba-zelenyj-listovoj-c-zhasminom-400g,,53900,RIOBA
214533,"RIOBA Чай зеленый Жасмин (2г х 20шт), 40г",https://online.metro-cc.ru/products/rioba-zelenyj-zhasmin-20x2g,,32900,RIOBA
218409,"RIOBA Чай зеленый Изумрудные спиральки (2г х 20шт), 40г",https://online.metro-cc.ru/products/rioba-zelenyj-izumrudnye-spiralki-20x2g,,23400,RIOBA
216971,"RIOBA Чай зеленый Молочный оолонг (2г х 20шт), 40г",https://online.metro-cc.ru/products/rioba-zelenyj-molochnyj-oolong-20x2g,,27400,RIOBA
242310,"RIOBA Чай зеленый байховый Имбирный апельсин (2г х 20шт), 40г",https://online.metro-cc.ru/products/rioba-zelenyj-bajhovyj-imbirnyj-apelsin-20x2g,,24100,RIOBA
225344,"RIOBA Чай зеленый байховый для заваривания в чайнике Молочный улун (5г х 20шт), 100г",https://online.metro-cc.ru/products/rioba-zelenyj-bajhovyj-dlya-zavarivaniya-v-chajnike-molochnyj-ulun-20-5g,,39900,RIOBA
473721201,"RIOBA Чай зеленый классический (2г x 100шт), 200г",https://online.metro-cc.ru/products/100h2g-chay-rioba-zelenyy-klassicheskiy,,43900,RIOBA
473943970,"RIOBA Чай зеленый классический (2г x 25шт), 50г",https://online.metro-cc.ru/products/25h2g-chay-rioba-zelenyy-klassicheskiy,,9490,RIOBA
387005,"RIOBA Чай зеленый листовой Зеленый Сенча, 400г",https://online.metro-cc.ru/products/rioba-zelenyj-zelenyj-sencha-400g,,59900,RIOBA
